what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646116047705
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646116060586
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1646116065980
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1646116066029
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1646116067525
executed,command,,,"AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.cdt.internal.ui.text.correction.CSelectRulerAction",1646116070518
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1646116076323
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646116081286
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646116082525
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646116087955
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646116088918
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1646116091537
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1646116091542
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.TaskList",1646116091590
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646116095916
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646116096803
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1646116099023
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1646116100384
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1646116108029
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.views.showView",1646116108029
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1646116115537
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646116118406
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646116119280
started,bundle,org.eclipse.ui.views.properties.tabbed,3.5.200.v20110928-1505,"org.eclipse.ui.views.properties.tabbed",1646116120705
opened,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.PropertySheet",1646116120767
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.PropertySheet",1646116120821
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1646116121397
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1646116125724
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646116130842
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646116132093
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646116132104
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646116139673
